user_id_enc,avg_amount,txn_count,avg_hour
0,4037.2688695652173,115.0,11.57391304347826
1,4115.205169491525,118.0,10.720338983050848
2,3819.240342465753,146.0,10.863013698630137
3,52530.11026548673,113.0,11.495575221238939
4,16363.8575,124.0,11.25
5,18284.780597014927,134.0,11.798507462686567
6,17357.696608695653,115.0,10.42608695652174
7,3660.321525423729,118.0,11.635593220338983
8,4173.412348484848,132.0,11.371212121212121
9,4267.170924369748,119.0,11.268907563025211
10,3644.202786885246,122.0,11.295081967213115
11,47401.46406779661,118.0,12.296610169491526
12,19935.082280701754,114.0,11.929824561403509
13,4244.438115942029,138.0,11.717391304347826
14,18343.150086206897,116.0,11.982758620689655
15,21876.48723880597,134.0,11.619402985074627
16,20664.321171875,128.0,12.0234375
17,3615.32544,125.0,11.728
18,4396.555663716814,113.0,10.734513274336283
19,18537.69881355932,118.0,11.35593220338983
20,4678.404529914529,117.0,12.145299145299145
21,4165.22631147541,122.0,11.262295081967213
22,51628.90211538462,104.0,11.057692307692308
23,20780.866470588233,119.0,11.92436974789916
24,4894.9887499999995,96.0,12.09375
25,3596.741,130.0,11.0
26,3974.536484375,128.0,12.5390625
27,4524.1720000000005,120.0,12.133333333333333
28,15800.978582677166,127.0,11.275590551181102
29,4483.898691588785,107.0,12.121495327102803
30,15907.096030534352,131.0,11.793893129770993
31,17814.76077586207,116.0,11.14655172413793
32,4488.573909090909,110.0,11.1
33,4960.130344827586,116.0,12.836206896551724
34,18950.453564356438,101.0,11.138613861386139
35,4057.624609375,128.0,11.828125
36,4749.498305084746,118.0,10.974576271186441
37,15429.552764227643,123.0,12.235772357723578
38,17327.384636363637,110.0,11.736363636363636
39,3748.3989344262295,122.0,12.327868852459016
40,4824.613684210526,133.0,11.045112781954888
41,3883.282635658915,129.0,11.062015503875969
42,4029.46368852459,122.0,10.811475409836065
43,19333.43277227723,101.0,10.574257425742575
44,21765.65124031008,129.0,11.186046511627907
45,4276.488269230769,104.0,10.875
46,3699.0514728682174,129.0,11.55813953488372
47,60187.18528,125.0,11.512
48,4162.542654867257,113.0,11.08849557522124
49,4747.313999999999,110.0,11.372727272727273
-1,12804.441633333332,120.0,11.5
